V1;V2
&quotechar;
basset;bassett
bonzai;bonsai
bottles of win;bottles of wine
seagul;seagull
seagulll;seagull
skyscrapper;skyscraper
dalia;dahlia
pitbul;pitbull
panter;panther
icecream;ice cream
high way;highway
ice-cream;ice cream
bed board;bedboard
jocky;jockey
jockie;jockey
dog house;doghouse
chihuaua;chihuahua
zuccini;zucchini
cheeta;cheetah
skiier;skier
dachsund;dachshund
brushes;bushes
marshmellow;marshmallow
cow;crow
jokceys;jockeys
marshamallow;marshmallow
colour;color
pickup;pick-up
segalls;seagulls
triatlon;triathlon
intrument;instrument
desert;dessert
eliphant;elephant
pick up;pick-up
chruch;church
coffe;coffee
resturauants;restaurants
piillow;pillow
thunderstom;thunderstorm
quitar;guitars
monkees;monkey
watermellons;watermelon
penquin;penguin
liqueur;liquor
elelphant;elephant
millshake;milkshake
alcohol drinks;alcoholic drinks
appliences;appliances
braclets;bracelets
oragne;orange
trashcan;trash can
buildig;building
monekys;monkey
ukulele;ukelele
ukelel;ukelele
pit bull;pitbull
pod cast;podcast
dachund;dachshund
resaurants;restaurants
peom;poem
braclet;bracelet
pick truck;pick-up truck
bassettt hound;bassett hound
summre;summer
blwnket;blanket
fondu's;fondue
aplaince;appliance
restarant;restaurant
concert's;concerts
chihuaha;chihuahua
chiahuahaua;chihuahua
cotten;cotton
cumcumber;cucumber
daschshund;dachshund
aparment;apartment
basket ball;basketball
bassettts;bassett hound
dashshund;dachshund
fruitcake;fruit cake
mialkshake;milkshake
liqour;liquor
runer;runner
pencial's;pencil
rapberriees;raspberries
wilk;silk
watermeloon;watermelon
water color;watercolor
villiage;village
thundersorm;thunderstorm
tennager;teenager
adukts;adults
afults;adults
blwnkets;blankets
bottles of win;wine
boulevatd;boulevard
bracelet's;bracelets
bracelts;bracelets
centre;center
frinch;finch
croe;crow
dane's;danes
documentry;documentary
gutiars;guitars
paint's;paints
raspberriees;raspberries
rental options;rentals
resturants;restaurants
restaurnats;restaurants
restuarants;restaurants
sald;salad
satues;statues
sanddals;sandals
skyscrapper;skyscraper
spirinting;sprinting
statue's;statues
statutes;statues
thundersorm;thunderstorm
aniumal;animal
envrionments;environments
freind;friend
inatrument;instrument
instruent;instrument
insturuments;instrument
perty;party
pick up;pick-up
restaruants;restaurants
thundertsorm;thunderstorm
tkime of day;time of day
baseket ball players;basketball player
basket player;basketball player
butcher shop;butchershop
p hone;phone
aniumals;animal
apartmets;apartments
barries;berries
boxs;box
bracelts;bracelets
chacolate;chocolate
chocholate;chocolate
cockpots;crockpot
documentry;documentary
fowers;flowers
gutiars;guitars
jewelery;jewelry
peunguins;penguin
raspberriees;raspberries
satues;statues
wooffloor;wood
furnature;furniture
eatermelon;watermelon
griter;guitar
weght;weight
tash cans;trash can
apartmet;apartment
pickup;pick-up
pick- up;pick-up
blwnkets;blankets
woof floor;wood floor
strom;storm
cell hone;phone
cites;city
colour;color
forrest;forest
apartmet;apartment
athelete;athlete
bird's;birds
bouqet;bouquet
butchershop;butcher shop
car's;cars
chacolate;chocolate
childern;children
chocholate;chocolate
cloths;clothes
coffe\b;coffee
day's;days
den's;dens
deserts;desserts
desswerts;desserts
illunation;illumination
inatruments;instruments
instruents;instruments
instuments;instruments
jewelery;jewelry
jewlery;jewelry
furnature;furniture
restaraunts;restaurants
runnres;runners
scipts;scripts
script's;scripts
scripts';scripts
stringed;string
weght;weight
tkime;time
joly ranchers;jolly rancher
watermenlons;watermelons
docuentaries;documentaries
stirps;strips
monkys;monkeys
palnes;planes
skarks;sharks
manos;mangos
paties;parties
magoes;mangoes
chijldren;children
childern;children
marhsmallows;marshmallows
bodys;bodies
boxs;boxes
envrionments;environments
