condition,response,bot_sentence,bot_question,check_index,property,tested_on,correct,workerid
botcaptcha,mary,"Joseph says to Mary: It's a beautiful day, isn't it?",Who is Joseph talking to?,NA,NA,NA,NA,workerid_0001
warm_up,other buildings,NA,NA,0,tall,Empire State Building,1,workerid_0001
memory_check,0,NA,NA,0,green shirt,0,1,workerid_0001
memory_check,1,NA,NA,1,quiet horn,1,1,workerid_0001
memory_check,0,NA,NA,2,wild animal,0,1,workerid_0001
memory_check,0,NA,NA,3,purple guitar,0,1,workerid_0001
memory_check,1,NA,NA,4,quick cat,1,1,workerid_0001
memory_check,1,NA,NA,5,hard carpet,1,1,workerid_0001
memory_check,0,NA,NA,6,shiny necklace,0,1,workerid_0001
memory_check,0,NA,NA,7,beautiful watch,0,1,workerid_0001
memory_check,1,NA,NA,8,loud ukelele,1,1,workerid_0001
memory_check,1,NA,NA,9,cold smoothie,1,1,workerid_0001
botcaptcha,Susan,"Thomas says to Susan: It's a beautiful day, isn't it?",Who is Thomas talking to?,NA,NA,NA,NA,workerid_0002
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0002
memory_check,0,NA,NA,0,purple guitar,0,1,workerid_0002
memory_check,1,NA,NA,1,slow adult,1,1,workerid_0002
memory_check,0,NA,NA,2,light motorcycle,1,0,workerid_0002
memory_check,0,NA,NA,3,shiny necklace,0,1,workerid_0002
memory_check,1,NA,NA,4,dark seagull,1,1,workerid_0002
memory_check,0,NA,NA,5,beautiful watch,0,1,workerid_0002
memory_check,0,NA,NA,6,green shirt,0,1,workerid_0002
memory_check,0,NA,NA,7,wild animal,0,1,workerid_0002
memory_check,1,NA,NA,8,short skyscraper,1,1,workerid_0002
memory_check,1,NA,NA,9,short child,1,1,workerid_0002
botcaptcha,mary,"Michael says to Mary: It's a beautiful day, isn't it?",Who is Michael talking to?,NA,NA,NA,NA,workerid_0003
warm_up,buildings,NA,NA,0,tall,Empire State Building,1,workerid_0003
memory_check,0,NA,NA,0,green shirt,0,1,workerid_0003
